M,Period
100,40.0286363636031
120,50.1936666666253
140,53.2202380951948
160,61.043571428522
180,60.8210714285218
20,15.1374358504287
200,74.6602857142247
220,77.76771428565
240,75.4414285713658
260,82.799999999932
280,77.0639999999366
300,91.348999999923
40,25.4883694530243
60,29.5624999999753
80,38.9230909090592
